                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8187,                 2.6281,                 1.6179,                0.32032,                0.27097,                  0.226,                0.10063,                  2.223,                 2.2147,                 1.8316,             0.00066612,             0.00066612,             0.00066612
                      2,                 1.8276,                   1.87,                 1.6368,                0.60094,                0.19973,                0.24634,                0.11388,                  2.168,                 2.1533,                  1.776,              0.0012008,              0.0012008,              0.0012008
                      3,                 1.7532,                 1.7077,                 1.5629,                0.39938,                0.23253,                0.23774,                0.10899,                  2.155,                 2.1536,                  1.809,              0.0016036,              0.0016036,              0.0016036
                      4,                 1.6985,                 1.5999,                 1.5294,                0.32094,                0.30753,                0.27126,                0.13519,                 2.0545,                 2.0247,                 1.6396,               0.001406,               0.001406,               0.001406
                      5,                 1.5999,                 1.4637,                 1.4608,                0.49069,                0.33253,                0.35886,                 0.1975,                 1.8851,                 1.7101,                 1.5403,               0.001208,               0.001208,               0.001208
                      6,                 1.5363,                 1.3612,                 1.4178,                 0.5321,                0.33495,                0.37769,                0.21024,                 1.8662,                  1.633,                 1.5074,                0.00101,                0.00101,                0.00101
                      7,                 1.4872,                 1.2969,                 1.3852,                0.53004,                0.34785,                0.37956,                0.21374,                 1.8652,                 1.6403,                  1.509,               0.000812,               0.000812,               0.000812
                      8,                 1.4491,                 1.2243,                 1.3514,                0.47587,                 0.3707,                0.38456,                0.21901,                 1.8338,                  1.572,                 1.4725,               0.000614,               0.000614,               0.000614
                      9,                 1.4046,                 1.1775,                 1.3189,                0.51088,                0.39167,                0.41689,                0.24413,                 1.7838,                 1.4686,                 1.4426,               0.000416,               0.000416,               0.000416
                     10,                 1.3614,                 1.1096,                  1.291,                 0.5376,                0.39597,                0.43046,                0.25523,                 1.7473,                 1.4345,                  1.426,               0.000218,               0.000218,               0.000218
