                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7158,                 2.7195,                 1.5118,                0.47537,                0.32204,                0.31441,                0.15479,                 2.0424,                 2.4852,                 1.5579,              0.0033299,              0.0033299,              0.0033299
                      2,                 1.6824,                 1.8985,                 1.4893,                0.45919,                0.32581,                0.31282,                0.15174,                 2.0617,                 1.9337,                 1.6773,              0.0065973,              0.0065973,              0.0065973
                      3,                 1.7746,                 1.8168,                  1.568,                0.38008,                0.25833,                0.24985,                0.11775,                 2.1768,                 2.2245,                 1.7467,              0.0097986,              0.0097986,              0.0097986
                      4,                 1.8316,                  1.818,                 1.6157,                0.44219,                0.28253,                0.29546,                 0.1455,                 2.0793,                 1.9796,                 1.6863,               0.009703,               0.009703,               0.009703
                      5,                 1.7673,                 1.6749,                 1.5617,                0.45291,                0.31102,                0.32031,                0.16901,                 1.9437,                 1.8599,                 1.5491,               0.009604,               0.009604,               0.009604
                      6,                  1.724,                 1.6058,                 1.5402,                0.45364,                 0.3379,                0.33232,                0.17222,                 1.9668,                 1.8007,                  1.595,               0.009505,               0.009505,               0.009505
                      7,                 1.6817,                 1.5458,                 1.5138,                0.40484,                0.34516,                0.31674,                0.16289,                 2.0084,                 1.9395,                 1.6563,               0.009406,               0.009406,               0.009406
                      8,                 1.6646,                 1.5021,                 1.4902,                0.44201,                0.34758,                0.33837,                0.18586,                  1.934,                 1.8803,                 1.5483,               0.009307,               0.009307,               0.009307
                      9,                 1.6316,                 1.4614,                 1.4695,                0.44313,                0.34328,                0.35172,                0.19121,                 1.8802,                  1.716,                 1.5386,               0.009208,               0.009208,               0.009208
                     10,                 1.6196,                 1.4326,                 1.4572,                0.45394,                0.36075,                0.36783,                0.19568,                 1.9282,                 1.7718,                 1.5519,               0.009109,               0.009109,               0.009109
                     11,                 1.6032,                 1.4083,                 1.4512,                0.47396,                 0.3817,                 0.3762,                0.20528,                  1.868,                 1.5767,                 1.5317,                0.00901,                0.00901,                0.00901
                     12,                 1.5753,                 1.3746,                  1.437,                0.53593,                0.37984,                0.39273,                0.22198,                 1.8091,                 1.5915,                 1.4908,               0.008911,               0.008911,               0.008911
                     13,                 1.5798,                 1.3643,                 1.4304,                0.48856,                0.38333,                0.38936,                0.21271,                 1.9009,                 1.5626,                 1.5521,               0.008812,               0.008812,               0.008812
                     14,                 1.5495,                 1.3349,                 1.4098,                0.52415,                0.40968,                0.41488,                  0.231,                  1.811,                 1.5636,                 1.4791,               0.008713,               0.008713,               0.008713
                     15,                  1.546,                 1.3211,                 1.4115,                0.51571,                0.37231,                0.39843,                0.21993,                 1.8497,                 1.5941,                 1.4865,               0.008614,               0.008614,               0.008614
                     16,                  1.513,                 1.2888,                  1.396,                 0.5456,                0.38091,                0.40761,                0.22077,                 1.8735,                 1.5545,                  1.506,               0.008515,               0.008515,               0.008515
                     17,                 1.5173,                 1.2932,                 1.3944,                0.54143,                0.40296,                0.41529,                0.23347,                  1.804,                 1.4889,                 1.4659,               0.008416,               0.008416,               0.008416
                     18,                 1.4977,                 1.2809,                 1.3877,                0.51719,                0.40618,                0.41889,                0.23737,                 1.7918,                 1.4602,                 1.4483,               0.008317,               0.008317,               0.008317
